#{"t_start": 1644933944.9352021, "env_id": "NeedleReach-v0"}
r,l,t
-50.0,50,2.979511
-50.0,50,4.014859
-50.0,50,4.754904
-50.0,50,5.647975
-50.0,50,6.494313
-50.0,50,7.397964
-50.0,50,8.274225
-50.0,50,9.102609
-50.0,50,9.9439
-50.0,50,10.744431
-50.0,50,11.647936
-50.0,50,12.431309
-50.0,50,13.214746
-50.0,50,14.080743
-50.0,50,14.857619
-50.0,50,15.641458
-50.0,50,16.437306
-50.0,50,17.213734
-50.0,50,18.027185
-50.0,50,18.827554
-50.0,50,19.627573
-50.0,50,20.506071
-50.0,50,21.281821
-50.0,50,22.07379
-50.0,50,22.867049
-50.0,50,23.686601
-50.0,50,24.554779
-50.0,50,25.375628
-50.0,50,26.181852
-50.0,50,26.917349
-50.0,50,27.662799
-50.0,50,28.550798
-50.0,50,29.37767
-50.0,50,30.155993
-50.0,50,31.053581
-50.0,50,31.914303
-50.0,50,32.684424
-50.0,50,33.507999
-50.0,50,34.413492
-50.0,50,35.207415
-50.0,50,36.034134
-50.0,50,36.928302
-50.0,50,37.826817
-50.0,50,38.612622
-50.0,50,39.353329
-50.0,50,40.143098
-50.0,50,40.931281
-50.0,50,41.713825
-50.0,50,42.535934
-50.0,50,43.382776
-50.0,50,44.260204
-50.0,50,45.116973
-50.0,50,46.004297
-50.0,50,46.811511
-50.0,50,47.681928
-50.0,50,48.46479
-50.0,50,49.251651
-50.0,50,50.305072
-50.0,50,51.160141
-50.0,50,51.943035
-50.0,50,52.74817
-50.0,50,53.771791
-50.0,50,54.588041
-50.0,50,55.374748
-50.0,50,56.274646
-50.0,50,57.009819
-50.0,50,57.921311
-50.0,50,58.666046
-50.0,50,59.53521
-50.0,50,60.420336
-50.0,50,61.146299
-50.0,50,61.927328
-50.0,50,62.717851
-50.0,50,63.518235
-50.0,50,64.248358
-50.0,50,65.092637
-50.0,50,65.952828
-50.0,50,66.710082
-50.0,50,67.488491
-50.0,50,68.230617
-50.0,50,68.972534
-50.0,50,69.817455
-50.0,50,70.649869
-50.0,50,71.459897
-50.0,50,72.316309
-50.0,50,73.064869
-50.0,50,73.828486
-50.0,50,74.713385
-50.0,50,75.457849
-50.0,50,76.284557
-50.0,50,77.056598
-50.0,50,77.807349
-50.0,50,78.569448
-50.0,50,79.449034
-50.0,50,80.202177
-50.0,50,80.987915
-50.0,50,81.824705
-50.0,50,82.600829
-50.0,50,83.400257
-50.0,50,84.237611
-50.0,50,85.093913
-50.0,50,85.902097
-50.0,50,86.760862
-50.0,50,87.629721
-50.0,50,88.425149
-50.0,50,89.266341
-50.0,50,90.190651
-50.0,50,91.022218
-50.0,50,92.020958
-50.0,50,92.750912
-50.0,50,93.552856
-50.0,50,94.561369
-50.0,50,95.399149
-50.0,50,96.2636
-50.0,50,97.204113
-50.0,50,98.028576
-50.0,50,98.846653
-50.0,50,99.690551
-50.0,50,100.47538
-50.0,50,101.307606
-50.0,50,102.14243
-50.0,50,102.999561
-50.0,50,103.82281
-50.0,50,104.607491
-50.0,50,105.417969
-50.0,50,106.159662
-50.0,50,106.895166
-50.0,50,107.659845
-50.0,50,108.406743
-50.0,50,109.171101
-50.0,50,110.124485
-50.0,50,110.989398
-50.0,50,111.76218
-50.0,50,112.592196
-50.0,50,113.349366
-50.0,50,114.202971
-50.0,50,115.068206
-50.0,50,115.854893
-50.0,50,116.68064
-50.0,50,117.493807
-50.0,50,118.283632
-50.0,50,119.046646
-50.0,50,119.838929
-50.0,50,120.675343
-50.0,50,121.418273
-50.0,50,122.291228
-50.0,50,123.06005
-50.0,50,123.892594
-50.0,50,124.730053
-50.0,50,125.448754
-50.0,50,126.290033
-50.0,50,127.105105
-50.0,50,127.929189
-50.0,50,128.709829
-50.0,50,129.488716
-50.0,50,130.340913
-50.0,50,131.113835
-50.0,50,131.9347
-50.0,50,132.789555
-50.0,50,133.579034
-50.0,50,134.415629
-50.0,50,135.151502
-50.0,50,135.855124
-50.0,50,136.714281
-50.0,50,137.523672
-50.0,50,138.229202
-50.0,50,138.928573
-50.0,50,139.830754
-50.0,50,140.564465
-50.0,50,141.3435
-50.0,50,142.16144
-50.0,50,142.942892
-50.0,50,143.729393
-50.0,50,144.565516
-50.0,50,145.457133
-50.0,50,146.252016
-50.0,50,147.0508
-50.0,50,147.845406
-50.0,50,148.62098
-50.0,50,149.424896
-50.0,50,150.229714
-50.0,50,151.073955
-50.0,50,151.904098
-50.0,50,152.756582
-50.0,50,153.605275
-50.0,50,154.475658
-50.0,50,155.240533
-50.0,50,156.070467
-50.0,50,156.806668
-50.0,50,157.686284
-50.0,50,158.476026
-50.0,50,159.315385
-50.0,50,160.139843
-50.0,50,160.854595
-50.0,50,161.625331
-50.0,50,162.488541
-50.0,50,163.231414
-50.0,50,164.044308
-50.0,50,164.905292
-50.0,50,165.704021
-50.0,50,166.47125
-50.0,50,167.27244
-50.0,50,168.031745
-50.0,50,168.82081
-50.0,50,169.584753
-50.0,50,170.327972
-50.0,50,171.146459
-50.0,50,171.930524
-50.0,50,172.780803
-50.0,50,173.564183
-50.0,50,174.428948
-50.0,50,175.275087
-50.0,50,176.142703
-50.0,50,176.86176
-50.0,50,177.653968
-50.0,50,178.442791
-50.0,50,179.227304
-50.0,50,179.997723
-50.0,50,180.906961
-50.0,50,181.722538
-50.0,50,182.645774
-50.0,50,183.49274
-50.0,50,184.354232
-50.0,50,185.180974
-50.0,50,185.961266
-50.0,50,186.787752
-50.0,50,187.618491
-50.0,50,188.417321
-50.0,50,189.200048
-50.0,50,190.073055
-50.0,50,190.871381
-50.0,50,191.634058
-50.0,50,192.493085
-50.0,50,193.293944
-50.0,50,194.041124
-50.0,50,194.928174
-50.0,50,195.787261
-50.0,50,196.675683
-50.0,50,197.467967
-50.0,50,198.271402
-50.0,50,199.07527
-50.0,50,199.93474
-50.0,50,200.65633
-50.0,50,201.517095
-50.0,50,202.332556
-50.0,50,203.138499
-50.0,50,203.926471
-50.0,50,204.815681
-50.0,50,205.646668
-50.0,50,206.485041
-50.0,50,207.296814
-50.0,50,208.078396
-50.0,50,208.837066
-50.0,50,209.592302
-50.0,50,210.443342
-50.0,50,211.283288
-50.0,50,212.110875
-50.0,50,212.920081
-50.0,50,213.657061
-50.0,50,214.471547
-50.0,50,215.339411
-50.0,50,216.062685
-50.0,50,216.880435
-50.0,50,217.819613
-50.0,50,218.667092
-50.0,50,219.454059
-50.0,50,220.261717
-50.0,50,221.006849
-50.0,50,221.886639
-50.0,50,222.747905
-50.0,50,223.561336
-50.0,50,224.343781
-50.0,50,225.103217
-50.0,50,225.869985
-50.0,50,226.781941
-50.0,50,227.638079
-50.0,50,228.464198
-50.0,50,229.30068
-50.0,50,230.101599
-50.0,50,230.89283
-50.0,50,231.742241
-50.0,50,232.638937
-50.0,50,233.446668
-50.0,50,234.288737
-50.0,50,235.015778
-50.0,50,235.786963
-50.0,50,236.537797
-50.0,50,237.263277
-50.0,50,238.039002
-50.0,50,238.826596
-50.0,50,239.614952
-50.0,50,240.365647
-50.0,50,241.14339
-50.0,50,241.871852
-50.0,50,242.691973
-50.0,50,243.461916
-50.0,50,244.288986
-50.0,50,245.090733
-50.0,50,245.951187
-50.0,50,246.796876
-50.0,50,247.724394
-50.0,50,248.522167
-50.0,50,249.277225
-50.0,50,250.035876
-50.0,50,251.007552
-50.0,50,251.844183
-50.0,50,252.626326
-50.0,50,253.443339
-50.0,50,254.299845
-50.0,50,255.188809
-50.0,50,255.943289
-50.0,50,256.698219
-50.0,50,257.535856
-50.0,50,258.372578
-50.0,50,259.175905
-50.0,50,260.021573
-50.0,50,260.800303
-50.0,50,261.692422
-50.0,50,262.542809
-50.0,50,263.367358
-50.0,50,264.152938
-50.0,50,264.909551
-50.0,50,265.603179
-50.0,50,266.428757
-50.0,50,267.220324
-50.0,50,268.024288
-50.0,50,268.86203
-50.0,50,269.654384
-50.0,50,270.411229
-50.0,50,271.19037
-50.0,50,272.132582
-50.0,50,272.879465
-50.0,50,273.719754
-50.0,50,274.51336
-50.0,50,275.376453
-50.0,50,276.21898
-50.0,50,277.013154
-50.0,50,277.837925
-50.0,50,278.59951
-50.0,50,279.40617
-50.0,50,280.170684
-50.0,50,280.909987
-50.0,50,281.716394
-50.0,50,282.509591
-50.0,50,283.266385
-50.0,50,284.021924
-50.0,50,284.839886
-50.0,50,285.625998
-50.0,50,286.40207
-50.0,50,287.218273
-50.0,50,288.121381
-50.0,50,288.98755
-50.0,50,289.836742
-50.0,50,290.692801
-50.0,50,291.553609
-50.0,50,292.362476
-50.0,50,293.209837
-50.0,50,294.06826
-50.0,50,294.929011
-50.0,50,295.680909
-50.0,50,296.387582
-50.0,50,297.199759
-50.0,50,297.951624
-50.0,50,298.719589
-50.0,50,299.507256
-50.0,50,300.265769
-50.0,50,300.980922
-50.0,50,301.875501
-50.0,50,302.729219
-50.0,50,303.497935
-50.0,50,304.246365
-50.0,50,305.098883
-50.0,50,305.900604
-50.0,50,306.760836
-50.0,50,307.685205
-50.0,50,308.432227
-50.0,50,309.226948
-50.0,50,310.049737
-50.0,50,310.889903
-49.0,50,311.708947
-50.0,50,312.602083
-50.0,50,313.448975
-50.0,50,314.21491
-50.0,50,315.071923
-50.0,50,315.859792
-50.0,50,316.915758
-50.0,50,317.725924
-50.0,50,318.521804
-50.0,50,319.302892
-50.0,50,320.061823
-50.0,50,320.801905
-50.0,50,321.668636
-50.0,50,322.462126
-50.0,50,323.245972
-50.0,50,324.190224
-50.0,50,324.909341
-50.0,50,325.664361
-50.0,50,326.466295
-50.0,50,327.229396
-50.0,50,328.031077
-50.0,50,329.727272
-50.0,50,331.238139
-50.0,50,332.793922
-50.0,50,334.42305
-50.0,50,336.122262
-50.0,50,337.693855
-50.0,50,339.263382
-50.0,50,340.963826
-50.0,50,342.615319
-50.0,50,344.2592
-50.0,50,345.869796
-50.0,50,347.491014
-50.0,50,349.041266
-50.0,50,350.663746
-50.0,50,352.211055
-50.0,50,353.824328
-50.0,50,355.369679
-50.0,50,356.950793
-50.0,50,358.450541
-50.0,50,360.080874
-50.0,50,361.683366
-50.0,50,363.219481
-50.0,50,364.879444
-50.0,50,366.491446
-50.0,50,368.097702
-50.0,50,369.66536
-50.0,50,371.250955
-50.0,50,372.836229
-50.0,50,374.371872
-50.0,50,375.883779
-50.0,50,377.415644
-50.0,50,378.992336
-50.0,50,380.62315
-50.0,50,382.244766
-50.0,50,383.741053
-50.0,50,385.356731
-50.0,50,386.911754
-50.0,50,388.531132
-50.0,50,390.166183
-50.0,50,391.794783
-50.0,50,393.423415
-50.0,50,394.956319
-50.0,50,396.565766
-50.0,50,398.202426
-50.0,50,399.792163
-50.0,50,401.369443
-50.0,50,403.043515
-50.0,50,404.698856
-50.0,50,406.520236
-50.0,50,408.12438
-50.0,50,409.782192
-50.0,50,411.389525
-50.0,50,413.079122
-50.0,50,414.671132
-50.0,50,416.307967
-50.0,50,417.926313
-49.0,50,419.376193
-50.0,50,420.970711
-49.0,50,422.943947
-45.0,50,424.644062
-50.0,50,426.596626
-50.0,50,428.158373
-50.0,50,429.763072
-50.0,50,431.42944
-50.0,50,433.097
-48.0,50,434.965535
-50.0,50,436.497659
-50.0,50,438.511966
-50.0,50,440.147845
-49.0,50,442.208704
-50.0,50,444.267227
-50.0,50,446.330996
-50.0,50,448.009216
-50.0,50,450.122071
-48.0,50,452.092498
-48.0,50,453.733798
-49.0,50,455.649454
-50.0,50,457.218861
-50.0,50,459.162127
-50.0,50,460.885048
-49.0,50,462.869017
-50.0,50,464.784842
-50.0,50,466.338893
-46.0,50,468.130948
-48.0,50,469.896617
-50.0,50,471.58755
-50.0,50,473.402069
-50.0,50,475.011248
-49.0,50,476.824601
-50.0,50,478.753536
-50.0,50,480.99821
-49.0,50,482.590596
-50.0,50,484.58004
-50.0,50,486.429439
-50.0,50,488.185133
-49.0,50,489.990158
-50.0,50,491.837516
-50.0,50,493.515171
-49.0,50,495.134835
-50.0,50,496.863543
-50.0,50,498.510097
-50.0,50,500.190299
-50.0,50,502.199985
-49.0,50,504.228736
-50.0,50,506.028579
-48.0,50,507.863463
-50.0,50,509.751696
-50.0,50,511.524172
-50.0,50,513.28084
-49.0,50,515.286894
-50.0,50,517.196968
-50.0,50,518.868676
-50.0,50,520.731776
-49.0,50,522.814727
-50.0,50,525.017779
-50.0,50,526.804388
-50.0,50,528.707691
-49.0,50,530.393406
-50.0,50,532.642842
-50.0,50,534.312163
-50.0,50,536.352184
-49.0,50,538.217405
-49.0,50,539.840911
-49.0,50,541.998595
-48.0,50,543.797217
-50.0,50,546.104187
-50.0,50,547.787992
-48.0,50,549.87383
-50.0,50,551.642423
-50.0,50,553.260098
-48.0,50,555.27186
-50.0,50,557.171819
-50.0,50,558.947153
-50.0,50,560.927907
-50.0,50,562.903046
-50.0,50,564.843779
-50.0,50,566.653359
-50.0,50,568.637648
-50.0,50,570.195458
-50.0,50,571.801158
-50.0,50,573.346614
-50.0,50,575.13031
-50.0,50,576.994125
-48.0,50,578.607687
-48.0,50,580.251793
-44.0,50,582.232551
-50.0,50,583.869169
-49.0,50,585.414716
-48.0,50,587.539531
-42.0,50,589.493063
-50.0,50,591.345771
-50.0,50,592.923511
-50.0,50,594.487237
-47.0,50,596.26897
-50.0,50,598.016805
-50.0,50,599.543814
-45.0,50,601.527564
-33.0,50,603.395308
-48.0,50,605.127426
-50.0,50,606.681317
-39.0,50,608.632761
-50.0,50,610.161373
-48.0,50,612.242814
-50.0,50,613.844467
-47.0,50,615.674956
-24.0,50,617.555421
-33.0,50,619.453585
-50.0,50,621.286561
-17.0,50,623.216618
-50.0,50,624.744461
-33.0,50,626.545266
-50.0,50,628.081924
-16.0,50,630.039656
-27.0,50,631.795603
-50.0,50,633.357305
-35.0,50,635.384311
-50.0,50,636.982929
-50.0,50,638.607698
-47.0,50,640.848689
-22.0,50,642.849879
-50.0,50,644.392336
-23.0,50,646.34712
-21.0,50,648.388914
-50.0,50,649.940502
-18.0,50,652.051931
-50.0,50,653.68265
-50.0,50,655.292034
-13.0,50,657.438853
-31.0,50,659.230545
-50.0,50,660.860117
-22.0,50,662.691608
-13.0,50,664.440879
-50.0,50,665.990025
-40.0,50,667.797101
-32.0,50,669.587633
-50.0,50,671.146407
-50.0,50,672.787846
-21.0,50,674.863941
-50.0,50,676.443005
